Manufacturer,Model,Adult_Occupant,Child_Occupant
Volkswagen,Volkswagen Jetta / Vento* + 6 Airbags (* for Uruguay and Argentina),30.16 max. 34.00 ,44.98 max. 49.00 
Volkswagen,Volkswagen T-Cross + 6 Airbags,31.62 max. 34.00 ,42.77 max. 49.00 
Volkswagen,Volkswagen Suran/Fox + 2 Airbags,20.98 max. 34.00 ,27.13 max. 49.00 
Volkswagen,Volkswagen Virtus + 4 Airbags,32.56 max. 34.00 ,43.00 max. 49.00 
Volkswagen,Volkswagen Polo + 4 Airbags,32.13 max. 34.00 ,43.00 max. 49.00 
Volkswagen,Volkswagen Golf VII + 7 Airbags,33.30 max. 34.00 ,43.52 max. 49.00 
Chery,Chery iQ - NO Airbags,0.00 max. 17.00 ,3.00 max. 49.00 
Chevrolet,Chevrolet Aveo - NO Airbags,0 max. 17.00 ,17.93 max. 49.00 
Chevrolet,Chevrolet Onix + 2 Airbags (from August 2014),10.67 max. 17.00 ,20.14 max. 49.00 
Chevrolet,Chevrolet Spark - NO Airbags,00.00 max. 17.00 ,16.29 max. 49.00 
Chevrolet,Chevrolet Malibu + 10 Airbags,14.56 max. 17.00 ,8.57 max. 49.00 
Chevrolet,Chevrolet Agile - NO Airbags,0.00 max. 17.00 ,16.35 max. 49.00 
Chevrolet,Chevrolet Celta - NO Airbags,3.82 max. 16.00 ,22.68 max. 49.00 
Chevrolet,Chevrolet Corsa Classic - NO Airbags,2.28 max. 16.00 ,9.16 max. 49.00 
Chevrolet,Chevrolet Cruze LT + 2 Airbags,13.18 max. 16.00 ,32.59 max. 49.00 
Chevrolet,Chevrolet Meriva GL Plus + 1 Airbag,8.64 max. 16.00 ,9.04 max. 49.00 
Citroen,Citroen C3 + 2 Airbags,11.19 max. 17.00 ,22.67 max. 49.00 
Fiat,Fiat New Palio + 2 Airbags (from july 2015),11.34 max. 17.00 ,25.28 max. 49.00 
Fiat,Fiat New Palio - NO Airbags,0 max. 17.00 ,18.01 max. 49.00 
Fiat,Fiat New Palio + 2 Airbags,10.84 max. 17.00 ,20.37 max. 49.00 
Fiat,Fiat Novo Uno Evo - NO Airbags,2.00 max. 16.00 ,20.73 max. 49.00 
Fiat,Fiat Palio ELX + 2 Airbags,10.65 max. 16.00 ,21.27 max. 49.00 
Fiat,Fiat Palio ELX 1.4 - NO Airbags,4.89 max. 16.00 ,22.51 max. 49.00 
Ford,Ford Ka + 2 Airbags,12.17 max. 17.00 ,30.58 max. 49.00 
Ford,Ford Ecosport + 2 Airbags (from August 2013),14.64 max. 17.00 ,31.00 max. 49.00 
Ford,Ford Focus III + 2 Airbags,16.52 max. 17.00 ,38.06 max. 49.00 
Ford,Ford Ecosport + 2 Airbags,13.64 max. 16.00 ,31.00 max. 49.00 
